clien_ido,clien_cnpjcpf,clien_email,clien_nome,clien_endereco,clien_numero,clien_complemento,clien_datanascimento,clien_sexo,clien_calce,clien_fone_numero,clien_cidade,clien_cep,clien_uf,clien_dataalteracao
2473531088,308.140.659-53,sarahcobb@example.net,Anthony Sullivan,Endereco: Cruz-Barrett,4667,"Complemento: Singh, Morrow and Lopez",1988-12-30,F,42,001-881-673-5549x48517,West Benjamin,52956108,RS,2024-04-25 15:00:43.081448
8509457766,329.870.989-10,veleztroy@example.net,Brooke Proctor,Endereco: Young Group,2370,Complemento: Smith and Sons,1993-11-20,F,42,+1-899-558-4703x03308,Craigborough,69758553,RS,2024-04-25 15:00:43.082420
6589929720,960.423.950-33,icalhoun@example.org,Steven Foster,Endereco: Lee Group,3504,Complemento: Krueger-Jackson,1952-06-01,F,42,(290)719-3481x9870,New Michael,63108781,RS,2024-04-25 15:00:43.083210
2705207870,688.211.540-09,melissareid@example.com,Joseph Wilcox,Endereco: Mcintyre PLC,3002,Complemento: Shaffer PLC,1952-09-11,F,42,997-277-6900x8585,Port Joshuafort,97848082,RS,2024-04-25 15:00:43.083950
1112282843,229.458.337-00,adkinschristopher@example.org,Leslie Miller,"Endereco: Gilmore, Mann and Velasquez",3475,Complemento: Jones-Freeman,1997-03-05,F,42,+1-974-641-6272,Dawnstad,69552630,RS,2024-04-25 15:00:43.084951
2281126305,228.572.465-95,terrymichelle@example.net,Craig Smith,"Endereco: Campos, Mcintosh and Robbins",426,Complemento: Phillips Group,1988-12-12,F,42,763-949-9242x407,South Alicia,65618495,RS,2024-04-25 15:00:43.085837
1022653766,038.357.798-50,tonya96@example.net,Melissa Morales,Endereco: Richardson Ltd,1961,Complemento: Little-Lin,1938-07-26,F,42,952.689.3829x34735,Westfurt,77546823,RS,2024-04-25 15:00:43.086578
9835713496,688.985.033-50,matthew67@example.com,Jordan Miller,"Endereco: Cain, Jackson and Morrison",998,"Complemento: Anderson, Spencer and Sanford",2021-09-19,F,42,706-614-6177x3426,Lake Cameron,54120548,RS,2024-04-25 15:00:43.087610
7304302380,703.328.949-91,yreese@example.com,Theresa Miller,Endereco: Lewis LLC,3595,"Complemento: Reid, Stein and Herrera",1934-11-23,F,42,(752)402-6134x7119,South Jessefort,26244379,RS,2024-04-25 15:00:43.088452
8045929743,470.439.502-28,haynesruth@example.org,Ronald Thompson,Endereco: Sellers LLC,3966,Complemento: Peterson PLC,1915-01-06,F,42,448.247.9684,East Kennethshire,44995835,RS,2024-04-25 15:00:43.089200
4977628055,959.411.316-23,ingramalexis@example.com,Douglas Stevenson,Endereco: Hines-Stanton,2265,Complemento: Fisher LLC,1974-06-16,F,42,+1-504-929-3336x6868,Port Joshuahaven,33336440,RS,2024-04-25 15:00:43.090018
1892079614,388.011.129-47,jeffrey15@example.net,Lisa Oconnell,Endereco: Dorsey Group,216,"Complemento: Brown, Clayton and Roman",1985-08-24,F,42,711.869.2631,Gregoryberg,59837000,RS,2024-04-25 15:00:43.090803
2753819795,418.267.969-59,lee99@example.net,Lisa Walker,Endereco: Ray-Cox,2814,"Complemento: Roberson, Lyons and Freeman",1994-12-24,F,42,426.656.2815,Williamfurt,66390104,RS,2024-04-25 15:00:43.091618
7611879660,973.000.939-22,sarah89@example.org,Amy Woodward,Endereco: Keith and Sons,3906,Complemento: Smith Group,1972-06-29,F,42,(633)334-6065x0000,North Christina,74260190,RS,2024-04-25 15:00:43.092166
7510753307,760.447.531-07,sarahpreston@example.com,Javier Mitchell,"Endereco: Wilson, Blackwell and Mercado",1055,Complemento: King-Rodgers,1916-02-23,F,42,001-278-987-5443x59384,Lawrencechester,74821993,RS,2024-04-25 15:00:43.093162
3208940160,852.536.988-84,michaelcoleman@example.net,Christina Black,Endereco: Griffith Group,1188,Complemento: Baldwin and Sons,1961-02-06,F,42,751-994-5412x8764,North Claytonhaven,79745847,RS,2024-04-25 15:00:43.093794
9438376945,388.620.903-23,lindanorton@example.net,Jo Wise,"Endereco: Owen, Fowler and Jones",393,Complemento: Gomez Group,1931-02-25,F,42,457-590-5480x26853,Amyside,84731842,RS,2024-04-25 15:00:43.094633
5956148830,814.239.042-65,jgardner@example.com,Maria Moore,Endereco: Hall-Vargas,2537,"Complemento: Baldwin, Martinez and Blackburn",1918-03-10,F,42,+1-922-977-5816x13749,East Rhondahaven,46625846,RS,2024-04-25 15:00:43.095438
5608934125,354.157.276-04,martinezdawn@example.net,Timothy Donaldson,Endereco: Stephenson-Reed,4558,Complemento: Riley-Hoffman,1918-09-12,F,42,(615)837-7202x8635,Schneiderbury,44395475,RS,2024-04-25 15:00:43.096219
2375358705,435.066.580-34,npope@example.org,Holly Johnson,"Endereco: Bender, Mullen and Hawkins",884,"Complemento: Garcia, Juarez and Graham",1949-10-07,F,42,873-395-1079,Christopherport,28810539,RS,2024-04-25 15:00:43.097096
5627407916,822.376.938-70,amandajones@example.com,Monica Miller,Endereco: Kelly-Trujillo,280,Complemento: Mercado-Johnson,1945-07-29,F,42,001-366-820-9988x7682,Stephensstad,66070338,RS,2024-04-25 15:00:43.097882
6071173537,918.090.520-09,thompsonlaura@example.net,Michael Malone,Endereco: Carter-Edwards,2804,"Complemento: Fleming, Palmer and Moore",1921-04-13,F,42,739-736-7738x94068,North Jocelynton,35334745,RS,2024-04-25 15:00:43.098793
8213743264,299.788.621-02,sdecker@example.net,Jacob Porter,Endereco: Davis-Christensen,3255,Complemento: Nelson-Flores,1966-06-15,F,42,536-334-7486x587,Port Cynthiastad,25171978,RS,2024-04-25 15:00:43.099491
6958840470,829.472.044-50,maryvazquez@example.com,Christina Lopez,Endereco: Golden and Sons,4022,Complemento: Espinoza Group,1963-12-24,F,42,925.638.0615,Janetfurt,67276960,RS,2024-04-25 15:00:43.100094
