clien_ido,clien_cnpjcpf,clien_email,clien_nome,clien_endereco,clien_numero,clien_complemento,clien_datanascimento,clien_sexo,clien_calce,clien_fone_numero,clien_cidade,clien_cep,clien_uf,clien_dataalteracao
1442065821,162.579.631-50,amandayoung@example.com,Jeffrey Ray,Endereco: Wang-West,4602,"Complemento: Thompson, Williams and Reed",1971-12-22,F,42,497-739-2816x76300,South Oscar,18816672,RS,2024-04-25 15:00:30.724552
9047128934,151.108.330-10,owashington@example.net,Kevin Shepherd,Endereco: Edwards-Fischer,1844,Complemento: Figueroa Group,1926-06-10,F,42,(966)588-8130,West Jeremiahport,10350887,RS,2024-04-25 15:00:30.726342
6954037101,936.771.090-94,lisa02@example.org,Danielle Chavez,Endereco: Hernandez-Hunt,601,Complemento: Hoover Inc,2005-06-30,F,42,001-512-515-5771x781,East Hannahchester,56386430,RS,2024-04-25 15:00:30.727746
1105640813,517.960.760-40,douglas84@example.org,Melissa Miller,Endereco: Graham and Sons,4145,Complemento: Gray PLC,2007-02-09,F,42,+1-857-571-1550x171,East Robert,47277865,RS,2024-04-25 15:00:30.728724
4032233845,837.100.164-95,shannon45@example.org,Joshua Lawrence,Endereco: Crawford-Perry,4599,Complemento: Best and Sons,2015-04-29,F,42,+1-546-298-5362x85650,Mahoneyhaven,33116077,RS,2024-04-25 15:00:30.729860
4384858477,635.045.852-42,hector52@example.org,Hannah Ruiz,Endereco: Thomas and Sons,1521,Complemento: Brewer Group,1941-01-21,F,42,924-566-4255x199,Jennifermouth,93476582,RS,2024-04-25 15:00:30.730680
4042447174,819.336.033-80,xking@example.net,Amber Grant,Endereco: Johnson Ltd,4028,Complemento: Tate-Thompson,1967-10-31,F,42,001-385-490-3737x415,Bakerstad,98484309,RS,2024-04-25 15:00:30.732064
4997301248,931.898.184-87,parkermonica@example.org,Thomas Wilson,Endereco: Singleton-Webb,3754,Complemento: Cooper and Sons,1959-08-19,F,42,527-812-4444x0335,Port Victoriaberg,91160791,RS,2024-04-25 15:00:30.733464
7639193799,460.974.698-02,gtaylor@example.org,Heather Walsh,Endereco: Schultz-Young,4787,"Complemento: Morris, Kelly and Cooper",1942-02-17,F,42,(960)686-1377x25824,West Susan,10333224,RS,2024-04-25 15:00:30.734673
6956028827,100.098.427-30,gmills@example.com,Marvin Yang,"Endereco: Hall, Rowe and Long",2980,Complemento: Cervantes-Miller,1929-06-28,F,42,(530)626-8700,New Nathanport,27688111,RS,2024-04-25 15:00:30.735838
1684154709,483.998.874-98,cooperryan@example.com,Anne Chapman,"Endereco: Brown, Scott and Lopez",134,"Complemento: Murray, Lewis and Cantrell",1915-09-02,F,42,506.540.0605,New Timothy,79483691,RS,2024-04-25 15:00:30.737228
7748961507,385.122.344-66,cummingstricia@example.org,Pamela Nguyen,Endereco: Santos-Chambers,2602,Complemento: Rice LLC,2013-09-21,F,42,001-548-621-4217x39087,Wesleymouth,67314158,RS,2024-04-25 15:00:30.738277
1411177855,236.265.662-42,steven73@example.com,Sheena Joseph,Endereco: Johnson-Abbott,4850,Complemento: Grant-Jimenez,1945-06-23,F,42,001-679-860-7128x94023,West Jackborough,84072851,RS,2024-04-25 15:00:30.739308
8222024687,309.769.664-41,teresalewis@example.net,Samantha Douglas,Endereco: Crawford-Burns,2457,Complemento: Wagner and Sons,1973-09-18,F,42,001-805-296-7637,Lake Diane,75379005,RS,2024-04-25 15:00:30.740296
5666835890,442.325.731-94,andrew45@example.net,Heather Johnson,Endereco: Hughes-Riggs,4178,"Complemento: Vang, Garcia and Burke",2015-08-31,F,42,602.402.3400,Laurenstad,57425786,RS,2024-04-25 15:00:30.741416
4316487381,513.224.048-87,mariahjones@example.com,Becky Meyers,"Endereco: Martin, Lopez and Bruce",2664,Complemento: Randall-Mcdaniel,1943-07-21,F,42,001-758-551-2073x74586,Schneiderchester,29110923,RS,2024-04-25 15:00:30.742756
1161523650,221.041.050-99,ingramjacqueline@example.org,Kelly Price,Endereco: Williams Inc,1638,Complemento: Smith-Cooley,1920-08-08,F,42,(738)672-2755x39504,Lake Colinfort,95134711,RS,2024-04-25 15:00:30.743709
