clien_ido,clien_cnpjcpf,clien_email,clien_nome,clien_endereco,clien_numero,clien_complemento,clien_datanascimento,clien_sexo,clien_calce,clien_fone_numero,clien_cidade,clien_cep,clien_uf,clien_dataalteracao
3763651636,797.097.043-54,qthornton@example.org,Colin Thompson,Endereco: Torres LLC,578,"Complemento: Buck, Patterson and King",1931-01-18,F,42,001-419-504-8273x595,Port Brandonstad,98021902,RS,2024-04-25 15:00:38.950382
6325197172,208.059.790-69,othompson@example.com,Michael Poole,"Endereco: Owens, Erickson and Ayers",4290,Complemento: Carter-Caldwell,1927-03-17,F,42,472-968-1051x59393,Garnershire,97553939,RS,2024-04-25 15:00:38.952925
7097806403,886.721.768-20,knoxwesley@example.net,Jacqueline Ruiz,Endereco: Mcgee Ltd,3980,"Complemento: Allen, Reyes and Webster",2000-05-07,F,42,481-277-5782,Port Angelafurt,53135235,RS,2024-04-25 15:00:38.955401
2798744705,629.924.556-52,ralph33@example.net,Logan Fleming,"Endereco: Thompson, Crane and Chen",2234,Complemento: Smith Inc,2012-05-06,F,42,+1-231-597-5394x8931,Carloschester,88040263,RS,2024-04-25 15:00:38.956900
3623234506,215.321.134-47,eturner@example.com,Jay Thomas,"Endereco: Fleming, Williams and Robbins",1891,"Complemento: Ellis, Marks and Sanders",1949-06-18,F,42,(423)894-5888,West David,74195218,RS,2024-04-25 15:00:38.958730
8551720930,653.649.945-03,pparker@example.net,Gregory Williams,Endereco: Fisher-Martin,689,Complemento: Thompson-Ruiz,1924-06-19,F,42,+1-784-755-4167x68462,Dominicmouth,40151016,RS,2024-04-25 15:00:38.960184
6532293860,445.914.655-00,jasoncox@example.org,Douglas Mcknight,"Endereco: Reynolds, Lyons and Wilson",1050,"Complemento: Brown, Green and Black",1927-11-15,F,42,+1-351-756-8051x37393,West Phillipfort,55683406,RS,2024-04-25 15:00:38.961862
2700717768,842.762.694-07,amy64@example.org,Emily Moody,"Endereco: Sanchez, Williams and Greer",1436,Complemento: Spears-Cooley,2020-03-08,F,42,+1-695-586-7193x219,New Kelly,84019941,RS,2024-04-25 15:00:38.962995
7443651133,052.083.120-93,john91@example.com,Edward Johnson,"Endereco: Diaz, Robertson and Jackson",1960,Complemento: Gray LLC,1923-07-11,F,42,(438)675-0118x3532,Port Ericbury,70193078,RS,2024-04-25 15:00:38.963991
5425435369,037.559.313-62,rmcfarland@example.com,Nicholas Ramirez,Endereco: Barber Ltd,3984,Complemento: Elliott Ltd,2015-03-26,F,42,452-461-5862x251,South John,53876035,RS,2024-04-25 15:00:38.964774
8958188819,762.113.200-00,michaelmiles@example.com,Carlos Cole,"Endereco: Cross, Mcclure and Rubio",1074,Complemento: Wade Inc,1969-06-25,F,42,9442659513,Kevinview,30973294,RS,2024-04-25 15:00:38.965919
9737771018,505.663.717-31,stacieyang@example.net,James Cole,Endereco: Arias-Chapman,2796,Complemento: Vaughn and Sons,1998-12-19,F,42,613.853.4805x9303,Jenkinsbury,12298835,RS,2024-04-25 15:00:38.966962
6792296537,091.027.657-99,barry16@example.org,Samuel Klein,Endereco: Garcia-Morgan,3158,Complemento: Tapia LLC,1925-01-14,F,42,431.881.2648,Gallagherville,37203396,RS,2024-04-25 15:00:38.967851
7851228675,713.522.760-38,lcurtis@example.org,Barry Sparks,Endereco: Perry Ltd,2085,"Complemento: Williams, Hays and Williams",1999-01-09,F,42,+1-721-764-5655x017,Reneeville,82411830,RS,2024-04-25 15:00:38.968867
4853457188,482.497.075-08,dmcbride@example.net,Tamara Rojas,"Endereco: Jackson, King and Johnson",309,Complemento: Barr Group,2002-09-18,F,42,+1-755-244-4768x4597,South Kimberly,15672157,RS,2024-04-25 15:00:38.969910
10317420144,897.036.937-68,paulrhonda@example.org,Scott Wise,"Endereco: Carter, Cunningham and Conner",640,Complemento: Thomas-Norman,1976-01-23,F,42,841-212-2790x24738,Port Amyton,71320983,RS,2024-04-25 15:00:38.971179
7209538604,111.347.762-84,patriciacain@example.net,Cheryl Bennett,Endereco: Parks PLC,2597,Complemento: Smith and Sons,2021-06-20,F,42,723.883.9059x29357,North John,31091310,RS,2024-04-25 15:00:38.971975
9918375943,459.751.248-91,hgomez@example.org,Monique Smith,Endereco: Hubbard-Weber,1594,Complemento: Stephens-Simmons,1915-06-10,F,42,793.327.6161,Lake Jesusmouth,81033027,RS,2024-04-25 15:00:38.972838
2422768342,497.839.438-47,tyler00@example.org,Eugene Miles,"Endereco: Jackson, Johnston and Williams",1807,"Complemento: Kelly, Johnson and Cardenas",1917-04-05,F,42,946-817-4292x4874,Tatemouth,69508050,RS,2024-04-25 15:00:38.973866
15753726,723.821.799-61,hernandezjoshua@example.net,Anne Davis,"Endereco: Cortez, Woods and Jackson",3098,Complemento: Bishop PLC,2020-11-28,F,42,+1-870-709-9638x30542,Kellyhaven,99190028,RS,2024-04-25 15:00:38.974769
4239960372,361.271.386-80,william02@example.net,Lauren Sanders,Endereco: Lozano PLC,4774,Complemento: Perry Inc,1918-09-07,F,42,(531)239-5618,Taylortown,86938823,RS,2024-04-25 15:00:38.975391
2091888896,342.402.949-16,millersusan@example.org,Tyler Marshall,"Endereco: Mcguire, Stone and Terrell",2401,Complemento: Miller LLC,1954-10-17,F,42,(907)850-1883x02504,Danielport,96015498,RS,2024-04-25 15:00:38.976272
7994784320,136.442.014-71,boothdanielle@example.net,Shannon Wright,Endereco: Sutton-Johnson,2696,Complemento: Burke-Faulkner,2011-07-16,F,42,442-739-6954,West Lindaton,34026644,RS,2024-04-25 15:00:38.977174
7651494169,231.704.778-97,moniquebarrera@example.com,Matthew Meza,Endereco: Dixon-Gutierrez,4495,Complemento: Collins-Baker,1926-12-04,F,42,(952)606-8050x24937,Sarahfurt,79556748,RS,2024-04-25 15:00:38.978123
5781168123,914.810.733-62,ramirezmegan@example.com,Vincent Allison,Endereco: Rodriguez-Manning,1363,"Complemento: Schmidt, Perez and Robinson",2010-04-09,F,42,+1-720-356-1367x1600,South Hannahberg,93039441,RS,2024-04-25 15:00:38.979136
