clien_ido,clien_cnpjcpf,clien_email,clien_nome,clien_endereco,clien_numero,clien_complemento,clien_datanascimento,clien_sexo,clien_calce,clien_fone_numero,clien_cidade,clien_cep,clien_uf,clien_dataalteracao
984348760,969.658.534-92,joshuaburns@example.org,Jennifer Chavez,Endereco: Moore PLC,465,Complemento: Dyer-Bowman,1932-09-17,F,42,+1-655-887-1817,Port Rachelmouth,72428956,RS,2024-04-25 15:00:26.587968
8457485484,785.234.843-29,michellecook@example.org,Whitney Scott,"Endereco: Pennington, Lopez and Erickson",1481,Complemento: Nixon-Graves,1942-12-24,F,42,+1-898-733-4436,Port Brittany,53673214,RS,2024-04-25 15:00:26.589218
9514884229,198.367.116-94,jacksonjason@example.com,Ashley Bates,Endereco: Coleman-Stevens,1299,Complemento: Holloway Inc,1924-06-15,F,42,(351)283-5455x7537,Harringtonville,42314915,RS,2024-04-25 15:00:26.590234
45013278,394.427.972-71,christineowens@example.com,Sarah Villegas,"Endereco: Patton, Garcia and Johnson",846,"Complemento: Juarez, Murphy and Hammond",1946-10-16,F,42,289-544-4351,Jillborough,72989232,RS,2024-04-25 15:00:26.591769
8082107499,544.711.223-04,kimberly11@example.net,William Mccullough,Endereco: Rodriguez Group,3390,Complemento: Jennings-Flores,2019-09-06,F,42,001-704-662-1529x413,South Jenniferbury,59070548,RS,2024-04-25 15:00:26.592674
7051745332,383.083.751-89,hbrown@example.net,Scott Palmer,Endereco: Garrison-Cameron,324,Complemento: Bradley-Ramsey,1969-07-22,F,42,001-611-650-9599x611,Anthonyland,63442408,RS,2024-04-25 15:00:26.593533
7376880282,074.063.006-70,johnellison@example.org,Sharon Hayes,"Endereco: Lee, Moore and Armstrong",3936,"Complemento: Skinner, Webb and Oliver",2013-07-08,F,42,+1-599-311-5641x973,Brentshire,71858871,RS,2024-04-25 15:00:26.594644
554586263,410.063.721-72,aspencer@example.org,Laurie Lopez,Endereco: Ortiz Ltd,2056,Complemento: Young and Sons,2018-05-20,F,42,4502357262,Tylerfort,92138506,RS,2024-04-25 15:00:26.595248
3258077037,341.587.459-18,uking@example.net,Julie Mendez,"Endereco: Reed, Gutierrez and Benson",2523,Complemento: Davis Group,1942-12-22,F,42,916.601.3783x0439,East Tammyside,69559332,RS,2024-04-25 15:00:26.595992
5534846992,983.106.955-27,lorisoto@example.org,Kathy Lewis,Endereco: Martin-Arellano,4949,"Complemento: Calhoun, Johnson and Booker",2016-11-04,F,42,(290)769-9388x7507,Gregorystad,85498612,RS,2024-04-25 15:00:26.596850
5531904169,280.597.977-00,erica28@example.org,Nathan Fields,Endereco: Lopez Group,2547,Complemento: Ross Inc,2009-02-27,F,42,001-749-915-8211x66277,Juarezmouth,76672888,RS,2024-04-25 15:00:26.597445
8099321000,153.640.714-30,abanks@example.net,Douglas Kirk,Endereco: Mora Group,4671,Complemento: Pitts Ltd,1974-07-31,F,42,001-723-695-1675,Keyshire,47901850,RS,2024-04-25 15:00:26.598051
2676246852,205.545.175-82,tiffanysanford@example.com,Laura Thomas,"Endereco: Carter, Simmons and Diaz",931,Complemento: Stephens-Burke,2009-11-15,F,42,001-935-627-1892,Christopherside,86367563,RS,2024-04-25 15:00:26.598918
6215727191,763.846.570-90,jenniferballard@example.com,Sharon Padilla,Endereco: Howard-Stone,2827,"Complemento: Lawson, Harper and Martinez",2022-06-07,F,42,(662)361-6831x4827,Port Amber,45610419,RS,2024-04-25 15:00:26.599804
6748277819,356.507.022-68,stoutjason@example.com,Wesley Gutierrez,"Endereco: Stevens, Hull and Lewis",130,"Complemento: Griffin, Holder and Byrd",2010-11-26,F,42,621-533-6989x687,North Jamesfort,25108656,RS,2024-04-25 15:00:26.600753
