customer_id,customer_cpf,first_name,last_name,birthday,age,shoe_size,email,cellphone,address,address_number,address_complement,town,region,postal_code,country,regsitration_date
10332528704,996.311.858-50,Jeremiah,Hines,1972-10-14,51,42,myersbailey@example.org,001-596-439-1726x430,Address: Lopez,23453,Complemento: Foster Inc,Lake Christopher,RS,21179015,Brasil,2024-04-25 15:00:26.637898
1074076336,969.498.422-01,Evan,Garcia,1942-03-15,82,42,gbailey@example.net,(387)947-8372x0578,Address: Smith,27436,Complemento: Orr-Hickman,Dannyfurt,RS,69672276,Brasil,2024-04-25 15:00:26.638391
2598333361,745.193.458-63,Alicia,Strong,1979-02-15,45,42,abrown@example.com,818.518.5772x06357,Address: Jensen,11520,"Complemento: Best, Lee and Smith",Gonzalezfurt,RS,51362379,Brasil,2024-04-25 15:00:26.638954
5702852398,996.586.842-54,Taylor,Tate,1958-01-28,66,42,lacosta@example.org,380-448-2291,Address: Smith,578,"Complemento: Wilson, Ramsey and Levy",West Tiffanyland,RS,32386472,Brasil,2024-04-25 15:00:26.639511
7633258761,619.895.606-79,Christopher,Roberts,1969-05-09,54,42,dgrant@example.org,432-517-5305,Address: Hayes,4992,"Complemento: Wood, Mayo and Delgado",Boydside,RS,24436186,Brasil,2024-04-25 15:00:26.640060
7288471323,957.339.715-33,Susan,Ibarra,2006-04-15,18,42,slucas@example.com,838.781.5312x229,Address: Schmidt,30311,"Complemento: Ross, Dalton and Wood",Vargasburgh,RS,34663956,Brasil,2024-04-25 15:00:26.640617
3974835839,607.630.709-98,Jacqueline,Spencer,1934-04-29,89,42,christina50@example.net,876.716.4559,Address: Beasley,36430,Complemento: Robertson Inc,South Josephfort,RS,73463229,Brasil,2024-04-25 15:00:26.641007
5799367597,729.341.575-39,Lisa,Anderson,1959-10-20,64,42,turnerjesse@example.org,685-579-1311x150,Address: Lowery,71709,Complemento: Rodriguez Ltd,Port Matthewborough,RS,90851145,Brasil,2024-04-25 15:00:26.641472
6779805145,395.556.289-12,Kevin,Sanchez,1976-03-30,48,42,hillshelley@example.net,279-895-1833x6558,Address: Braun,20816,"Complemento: Summers, Pollard and Reynolds",Ballport,RS,77401879,Brasil,2024-04-25 15:00:26.642087
3639939677,023.496.027-29,Allen,Cowan,1953-10-16,70,42,kimberly04@example.net,432.556.8696x1435,Address: Kennedy,60225,"Complemento: Robinson, Martin and Gonzalez",Hooperfort,RS,33301990,Brasil,2024-04-25 15:00:26.642629
10601530002,344.231.006-73,Jessica,Gonzalez,1974-02-17,50,42,gracegriffin@example.org,811-682-6249x0012,Address: Cunningham,31275,Complemento: Duran-Williams,Salaston,RS,93728920,Brasil,2024-04-25 15:00:26.643168
7226462577,187.877.578-26,John,Bautista,1911-09-20,112,42,richard06@example.com,581-748-9299x2307,Address: Stevens,93268,Complemento: Holt Ltd,Adamport,RS,29873020,Brasil,2024-04-25 15:00:26.643567
723777257,818.205.798-16,Sandra,Gutierrez,1992-07-04,31,42,andrewcarr@example.net,323-374-2549x41561,Address: Garza,83577,Complemento: Lindsey LLC,Roblesmouth,RS,34723255,Brasil,2024-04-25 15:00:26.644037
2759648212,402.139.573-37,Vincent,Peterson,1960-10-18,63,42,simmonslisa@example.net,311-685-5727x84334,Address: Ali,49734,Complemento: Aguilar PLC,Barnesbury,RS,37296578,Brasil,2024-04-25 15:00:26.644480
5052293059,839.265.242-86,Robert,Arroyo,1986-03-01,38,42,millertaylor@example.org,+1-857-229-4346x53629,Address: Gonzalez,47922,Complemento: Santos LLC,Rachelberg,RS,44926345,Brasil,2024-04-25 15:00:26.644881
5992737323,383.357.180-24,Rodney,Perez,1982-12-05,41,42,oliverfrank@example.org,001-480-575-6933,Address: Calderon,24743,Complemento: Maldonado-Collins,East Andreaton,RS,47263491,Brasil,2024-04-25 15:00:26.645337
4013984656,824.035.533-10,Christy,Barrett,1973-04-01,51,42,michaelbrown@example.com,001-229-415-8179x40926,Address: Montgomery,65517,Complemento: Rose-Holmes,West Amanda,RS,77834504,Brasil,2024-04-25 15:00:26.645793
6561353635,697.491.924-78,Edward,Anderson,2007-03-26,17,42,ppierce@example.net,833-493-8349x478,Address: Hendrix,34803,Complemento: Arnold Inc,Fieldsside,RS,64382820,Brasil,2024-04-25 15:00:26.646170
7247122127,383.326.596-55,Debra,Aguirre,1983-09-26,40,42,elliskaren@example.net,315.312.4454,Address: King,30862,"Complemento: Morrison, Lopez and Wilcox",Monicafort,RS,76067097,Brasil,2024-04-25 15:00:26.646680
10421704210,318.524.144-48,Andrea,Scott,1969-11-27,54,42,clinton22@example.com,896-976-0239,Address: Collins,30813,"Complemento: Walker, Maxwell and Hall",Burnsland,RS,54654314,Brasil,2024-04-25 15:00:26.647153
9186309890,485.315.163-07,Terrence,Lutz,1939-03-17,85,42,andreaholland@example.net,608.353.3514,Address: Walsh,3020,"Complemento: Juarez, Campos and Cox",North Laura,RS,14930264,Brasil,2024-04-25 15:00:26.647672
10117527106,883.423.057-40,Cynthia,Brown,2002-12-09,21,42,stevenperry@example.net,(757)625-7635,Address: Lewis,27026,Complemento: Garner PLC,East Jimmytown,RS,97790363,Brasil,2024-04-25 15:00:26.648081
8667745809,987.928.298-13,Gavin,Young,1934-12-29,89,42,hayleysmith@example.org,001-422-211-7285x6756,Address: Hicks,52194,Complemento: Rodriguez-Holt,Lake Jamesfurt,RS,78621619,Brasil,2024-04-25 15:00:26.648577
7888869747,908.432.235-53,Justin,Hayes,1957-06-24,66,42,brennandavid@example.net,884.400.0920,Address: Williams,85177,Complemento: Arnold Ltd,Ryanshire,RS,55514514,Brasil,2024-04-25 15:00:26.649167
10829823538,278.463.006-44,Michele,Weber,2006-07-21,17,42,stephenmendoza@example.net,(257)741-3259,Address: Foley,49275,"Complemento: Johnson, Rogers and Phillips",East Jenniferfort,RS,26389381,Brasil,2024-04-25 15:00:26.649757
9296629290,242.300.417-64,Richard,Phillips,1991-07-30,32,42,michael52@example.org,5596427034,Address: Goodwin,17122,"Complemento: Taylor, Beck and Baldwin",Port Sarah,RS,14137234,Brasil,2024-04-25 15:00:26.650229
5404637273,638.911.582-20,Mary,Tucker,1950-08-21,73,42,stephanie96@example.net,787.492.4739,Address: Simmons,83582,Complemento: Roberts-Quinn,Port Amybury,RS,82366603,Brasil,2024-04-25 15:00:26.650642
3305818218,660.867.590-90,Heather,Wiley,1989-03-24,35,42,kristyphillips@example.com,221.921.0123x9220,Address: Phillips,67704,Complemento: Montgomery Group,Catherinemouth,RS,44411493,Brasil,2024-04-25 15:00:26.651048
10961349210,794.680.709-05,Heather,Kidd,1935-03-14,89,42,castillojohn@example.com,315-898-0025x299,Address: Keller,6467,Complemento: Baker-Miller,Stuartchester,RS,35060377,Brasil,2024-04-25 15:00:26.651525
8320783832,590.972.071-69,Gregory,White,1980-05-07,43,42,mullinslaura@example.com,784.420.3348x22342,Address: Burgess,56281,Complemento: Smith Group,West Charlesville,RS,89159896,Brasil,2024-04-25 15:00:26.651933
10567589208,210.545.124-18,Andrew,Hernandez,1959-01-22,65,42,baileyanna@example.org,001-241-593-9029x0423,Address: Smith,47078,Complemento: Bell-Small,Lawrenceberg,RS,38012284,Brasil,2024-04-25 15:00:26.652384
2761430217,270.031.205-85,Larry,Edwards,1930-10-27,93,42,pagecarolyn@example.com,923-317-6375,Address: Reyes,48024,"Complemento: Jarvis, Bentley and Smith",Barkerville,RS,50986069,Brasil,2024-04-25 15:00:26.652862
7093675544,358.014.382-46,Samuel,Mcdonald,1960-11-20,63,42,ekennedy@example.org,654-288-1033x7054,Address: Owen,81051,"Complemento: Parker, Jones and Hendricks",Robinsontown,RS,32415960,Brasil,2024-04-25 15:00:26.653315
5946583843,744.364.909-63,April,Salazar,1994-12-18,29,42,erodriguez@example.org,441-483-9387,Address: Baker,64522,Complemento: Lewis and Sons,North Stephanie,RS,72855048,Brasil,2024-04-25 15:00:26.653642
227577272,081.004.998-88,Jacob,White,1974-06-25,49,42,kennethhamilton@example.com,595.564.8701x12269,Address: Saunders,67696,"Complemento: Miller, Green and Rodriguez",Port Dustin,RS,76447352,Brasil,2024-04-25 15:00:26.654107
10712465949,641.089.172-51,Chase,Hernandez,1926-09-14,97,42,bwalter@example.org,(793)846-3093x969,Address: Blankenship,23679,Complemento: Pope-Ford,South David,RS,60629260,Brasil,2024-04-25 15:00:26.654495
1734848356,176.930.650-16,Jack,Brown,1992-01-18,32,42,mary36@example.org,001-911-310-9584,Address: Olson,25621,Complemento: Edwards-Martinez,Bentonfurt,RS,99407977,Brasil,2024-04-25 15:00:26.654909
9812063349,684.291.325-03,William,Lee,2008-02-17,16,42,pbell@example.com,+1-638-283-1981x5482,Address: King,79206,"Complemento: Becker, Wright and Johnson",New Walterview,RS,35399119,Brasil,2024-04-25 15:00:26.655367
3587353500,922.212.185-66,Maria,Hess,1927-11-20,96,42,ashleyvalencia@example.org,4555506638,Address: Dunn,50316,Complemento: Hill-Miranda,North Joshua,RS,92107783,Brasil,2024-04-25 15:00:26.655790
1759885217,975.604.842-55,Linda,Harper,1917-09-05,106,42,jennifer98@example.org,759-481-8446x36513,Address: Hughes,6773,Complemento: Lopez-Murray,Larrystad,RS,14258380,Brasil,2024-04-25 15:00:26.656163
7569755826,557.916.164-65,Claudia,Rojas,1992-10-20,31,42,romerojulie@example.org,+1-981-248-3510x473,Address: Diaz,12128,Complemento: Rosales Group,Gallagherberg,RS,95885268,Brasil,2024-04-25 15:00:26.656540
2561983638,229.721.923-70,Jessica,Guerra,1911-05-03,112,42,dariusburton@example.org,964.997.7815x578,Address: Lopez,93596,Complemento: Bowers-Smith,East Jamie,RS,29046276,Brasil,2024-04-25 15:00:26.656952
2349882247,306.821.774-15,Melissa,Irwin,1980-05-03,43,42,joannealexander@example.org,001-800-613-3761,Address: Bowman,46311,Complemento: Lawrence-Mcdaniel,Tanyaborough,RS,33714405,Brasil,2024-04-25 15:00:26.657362
6211416824,022.807.342-14,Sandra,Park,2003-12-16,20,42,uburton@example.org,2736644349,Address: Oconnor,88952,Complemento: Tyler PLC,Cookstad,RS,86569398,Brasil,2024-04-25 15:00:26.657704
1948949342,842.447.625-58,Jacqueline,Johnson,2017-03-05,7,42,hinesemily@example.org,+1-288-767-0394,Address: Khan,92251,Complemento: Henry Inc,East Gerald,RS,43187313,Brasil,2024-04-25 15:00:26.658064
7885988277,432.989.071-20,Amy,Thompson,1992-08-01,31,42,elizabethallen@example.net,251-724-5246x397,Address: Thomas,1338,Complemento: Williams Group,Jennifermouth,RS,40524709,Brasil,2024-04-25 15:00:26.658426
1248660941,939.257.921-71,Gary,Burke,1997-07-30,26,42,dawnbarron@example.org,259-387-6123x78612,Address: Mckee,65782,Complemento: Welch-Stewart,West Earltown,RS,56271305,Brasil,2024-04-25 15:00:26.658845
8725643906,786.742.141-69,Richard,Hill,1983-06-05,40,42,lperry@example.org,951.375.3709x163,Address: Williams,67976,"Complemento: Barron, Evans and Gonzalez",Ernestfurt,RS,46735034,Brasil,2024-04-25 15:00:26.659273
2127634494,464.859.837-75,Luis,Brown,1936-10-28,87,42,steveyoder@example.org,288-819-8508x35160,Address: Yates,78758,"Complemento: Garcia, Smith and Schneider",New Diana,RS,72563237,Brasil,2024-04-25 15:00:26.659739
6379719476,392.400.904-01,Dawn,Garcia,1961-11-22,62,42,brandon45@example.net,(936)987-4755,Address: Morales,52360,Complemento: Santos Inc,Larryburgh,RS,21795042,Brasil,2024-04-25 15:00:26.660056
7784735092,873.948.778-41,Christian,Schneider,1920-12-07,103,42,hhartman@example.com,001-857-518-7359x372,Address: Chapman,16803,"Complemento: Gaines, Lewis and Mclean",Lake Leefurt,RS,20881441,Brasil,2024-04-25 15:00:26.660482
1025277617,332.472.169-52,Melvin,Sanchez,2013-08-18,10,42,jamie84@example.com,2968413876,Address: Glenn,77390,Complemento: Nixon-Sherman,Singletonhaven,RS,56727899,Brasil,2024-04-25 15:00:26.660844
