crmclia_ido,crmclia_cpf,crmclia_crmcli_ido,crmclia_nome,crmclia_datanascimento,crmclia_calce,crmclia_sexo,crmclia_email,crmclia_fone_ddd,crmclia_fone_numero,crmclia_cell_ddd,crmclia_cell_numero,crmclia_ender_logradouro,crmclia_ender_numero,crmclia_ender_complemento,crmclia_ender_cidade,crmclia_ender_cep,crmclia_dtins
5361300260,488.008.532-42,6b2f0f66-4f66-42d8-a483-0649ecd99bcb,Angela Washington,2005-04-26,44,M,teresawilson@example.net,51,(456)449-9155x614,51,9818618851,Logradouro:Clayton and Sons,2029,Complemento: Torres LLC,Port Wendyborough,88323057,2024-04-25 15:00:34.896225
4821273055,556.892.588-73,370c522b-9074-462c-8692-d4e63265f24b,Jennifer Jackson,1940-05-27,44,M,gregory80@example.com,51,001-850-765-2297x84745,51,001-377-648-5588x5100,Logradouro:Schultz Ltd,1702,"Complemento: Becker, Anderson and Wilson",East Michele,83786738,2024-04-25 15:00:34.896670
6746286808,231.627.168-53,cf85df53-f592-4a17-9dcc-208973bc5c90,Sarah Powell,1933-10-26,44,M,zachary23@example.net,51,001-377-655-9267x475,51,(792)336-6775x5210,Logradouro:Kelly-Green,747,Complemento: Chambers Ltd,Aprilside,58512308,2024-04-25 15:00:34.897055
7121117706,237.977.049-25,1a2c7355-b19c-44a3-8e46-2daca3f95676,Angela Parker,1933-12-21,44,M,kelleygina@example.net,51,(625)988-5265x155,51,282-872-7921,Logradouro:Giles LLC,4128,"Complemento: Stewart, Harris and Garcia",Longview,24879231,2024-04-25 15:00:34.897557
6489217990,919.902.875-14,229e5c60-fdd2-4a02-9ea3-a2ff99b7cd14,Jason Graham,1971-01-16,44,M,xperez@example.net,51,9334622007,51,001-530-528-2839x33079,Logradouro:Huffman Ltd,348,Complemento: Odom Ltd,Gregoryview,64021858,2024-04-25 15:00:34.897904
5639317740,246.765.695-05,92af6fc9-77fe-4d68-a0aa-fba8716c6522,Melissa Long,2024-02-09,44,M,njohnson@example.org,51,(711)788-6691x5738,51,934.461.7160,Logradouro:Henry and Sons,2189,Complemento: Bates and Sons,Normaton,85097843,2024-04-25 15:00:34.898251
10430348047,256.803.620-66,9f8ab0aa-3e23-45a1-bce8-69cbd8a055b0,Michael Hull,1939-03-15,44,M,jacquelineadams@example.com,51,503-874-6225,51,+1-819-312-9870x7260,Logradouro:Davidson Inc,4090,"Complemento: Young, Martinez and Cook",Elizabethstad,13290234,2024-04-25 15:00:34.898735
7385585096,469.251.028-52,4eba37f1-335d-4e65-a5e2-f44eeab1b102,Cindy Glenn,1937-02-11,44,M,bentleychristine@example.org,51,001-602-613-9784x995,51,521-829-2710x023,Logradouro:Solis Ltd,1726,Complemento: Nguyen-Cochran,Scottborough,12905034,2024-04-25 15:00:34.899156
5570768310,104.814.016-44,7ed8ad29-94b4-448b-beef-2bf5b7616cc8,Eric Campbell,1925-10-23,44,M,yburton@example.net,51,001-932-972-0578,51,803.912.8264,"Logradouro:Herrera, Callahan and Hernandez",1205,Complemento: Rhodes and Sons,Harperbury,47708584,2024-04-25 15:00:34.899579
10724362736,732.920.655-50,a8ee48b9-602f-4cd9-8959-8786060e43c2,Katherine Jones,1927-07-20,44,M,davidnunez@example.org,51,001-363-539-5315x830,51,5445218581,Logradouro:Brown PLC,4673,Complemento: Montoya-Johnson,Lake Matthewstad,84430418,2024-04-25 15:00:34.899976
