crmclia_ido,crmclia_cpf,crmclia_crmcli_ido,crmclia_nome,crmclia_datanascimento,crmclia_calce,crmclia_sexo,crmclia_email,crmclia_fone_ddd,crmclia_fone_numero,crmclia_cell_ddd,crmclia_cell_numero,crmclia_ender_logradouro,crmclia_ender_numero,crmclia_ender_complemento,crmclia_ender_cidade,crmclia_ender_cep,crmclia_dtins
7036164557,199.804.710-50,6095cfff-d6d7-48cc-98cc-c1584cff3625,Melissa Smith,1931-02-13,44,M,mark64@example.net,51,001-737-555-3871x7678,51,+1-228-395-3159x602,Logradouro:Orr LLC,4454,Complemento: Taylor-Lang,Tracymouth,88567207,2024-04-25 15:00:43.127870
10932297107,466.162.942-69,dcbc931b-952f-4c7e-b794-90f8cbceb43d,Katie Johnson,1996-06-20,44,M,stephencraig@example.com,51,812.552.4106,51,(312)731-2059,Logradouro:George Ltd,1351,Complemento: Kelly-Bailey,Steeleview,74173103,2024-04-25 15:00:43.128346
4819699372,565.624.312-55,9bdf72d3-af5b-435f-b866-036fe3578fbc,Vanessa Young,1981-09-28,44,M,kylie61@example.org,51,+1-910-608-5667,51,(758)796-8269,"Logradouro:Pacheco, Ramsey and York",4142,Complemento: Dean-Williams,Nicholsonberg,78981989,2024-04-25 15:00:43.128848
1419650866,217.945.338-85,26ecd545-4d75-4013-8d5a-2b0ecb62d246,Jeffrey Rojas,1909-04-14,44,M,vmills@example.com,51,759-895-4434x286,51,2874272838,Logradouro:Williams-Chen,1458,Complemento: Smith-Sanchez,Leonardstad,57935911,2024-04-25 15:00:43.129298
2064763493,320.455.129-67,c98437f0-26f5-424b-a07b-d0a92104e341,Kristin Ellis,1919-10-26,44,M,kelly81@example.org,51,606-697-5400x20509,51,001-913-575-7558x617,"Logradouro:Garza, Frost and Carson",242,Complemento: Keith-Santiago,Woodmouth,90699116,2024-04-25 15:00:43.129807
7521936946,143.982.733-87,cad02a9c-ed27-442c-82d7-bb5069590bc6,Mary Rodriguez,1985-03-09,44,M,nford@example.org,51,700-361-4342,51,(903)284-6171x9485,Logradouro:Cruz Ltd,3439,Complemento: Pierce Ltd,South Stephenchester,87228586,2024-04-25 15:00:43.130160
3769338208,532.632.377-05,145daee8-3523-442c-8dba-c63142832da2,Kim Pena,1920-03-09,44,M,crystalschmidt@example.com,51,001-613-711-5130x621,51,389.790.1984,"Logradouro:Ferguson, Rogers and Barker",2893,Complemento: Wolf-Bowers,Zacharymouth,13695840,2024-04-25 15:00:43.130702
8403474429,882.176.565-25,90cec079-d203-45fb-a1c8-6ceb0e2c91da,Edward Adams,1963-08-12,44,M,terrypaul@example.net,51,(782)865-4385x63150,51,+1-339-806-8962x700,Logradouro:Taylor Group,3075,Complemento: Miller-Johnson,Amandastad,41003267,2024-04-25 15:00:43.131139
4489738738,678.850.254-46,34c781bb-4c08-49bd-86b8-37eba342510d,Sydney Martinez,1949-07-08,44,M,paul00@example.com,51,657-850-0156,51,3338432357,Logradouro:Williams-Mendez,4851,Complemento: Grant and Sons,Port Timothy,57834482,2024-04-25 15:00:43.131519
7978611221,328.671.866-17,f0dd8651-d795-4520-9343-297e8903187d,Casey Smith,1971-07-24,44,M,sharon41@example.net,51,307-727-4378,51,+1-799-826-8564,"Logradouro:Bryant, Campbell and Sandoval",3503,"Complemento: Church, Thomas and Vazquez",South Elizabeth,89304469,2024-04-25 15:00:43.132061
6677857765,536.562.260-08,e42e985f-af92-4bd4-b9ed-49c6eff4fe05,Christina Perkins,1961-06-02,44,M,garciasara@example.com,51,001-280-904-6147x96335,51,696-751-0997x063,Logradouro:Anderson-Tyler,2921,Complemento: Thompson Group,Mitchelltown,86954428,2024-04-25 15:00:43.132497
9486010114,027.369.238-04,e2cae94d-93c6-4c3a-92b1-78a9be6d6e5d,Lynn White,1939-04-15,44,M,qsmith@example.net,51,418-362-6649,51,(390)847-4070,"Logradouro:Woods, Weaver and Simon",4556,Complemento: Miller and Sons,Lawrencebury,89476294,2024-04-25 15:00:43.132946
5023871447,584.256.716-47,c0c45318-fdb7-4727-b728-1c6c17c70a7e,George Hester,1946-07-02,44,M,pjohnson@example.org,51,317.479.2880x8390,51,001-756-396-0361x332,Logradouro:Long-Fischer,2139,Complemento: Holmes Ltd,Amberhaven,92017430,2024-04-25 15:00:43.133352
2101057037,887.448.730-42,dd176133-1dc3-480d-98db-84bc1cd8c62f,Michael Wang,1975-09-14,44,M,ucarroll@example.com,51,001-709-382-9141x403,51,+1-517-826-1336x19904,"Logradouro:Mullins, Davis and Gillespie",167,"Complemento: Williams, Chen and Vega",Robertmouth,92073156,2024-04-25 15:00:43.133910
773841020,054.224.744-57,f99983df-7c7a-4441-9a88-b2e77bdfea11,Heather Singh,1970-07-07,44,M,annetteporter@example.com,51,+1-440-918-2911x947,51,646-930-9634x1209,"Logradouro:Douglas, Miller and Alexander",2838,Complemento: Jones-Patterson,Mullinsburgh,88071349,2024-04-25 15:00:43.134470
4985113337,917.018.042-39,2756c3c2-9116-4242-9655-f92f6574a42f,Troy Blankenship,1924-12-21,44,M,russelldominguez@example.net,51,740.621.0266x7685,51,(317)395-5654x13321,Logradouro:Sullivan-Thompson,3190,"Complemento: Turner, Clark and Alexander",Lake Jessica,62998291,2024-04-25 15:00:43.135019
1955885630,120.922.850-50,6448c1c7-a18c-42c8-99b3-a08c5113ba81,Richard Schwartz,1909-04-03,44,M,william92@example.org,51,3052049488,51,570.536.2518,Logradouro:Garcia-Hampton,1213,"Complemento: Reid, Cruz and Wood",Davisside,15710833,2024-04-25 15:00:43.135521
6890654793,008.062.790-01,945275bd-b634-459e-9bfc-83e2fdc8a6cc,Billy Simpson,1933-09-03,44,M,jonesdavid@example.com,51,381.246.4579,51,(923)780-3201x17029,"Logradouro:Willis, Pearson and Boyd",744,Complemento: Santiago-Romero,Lake Annaborough,18284572,2024-04-25 15:00:43.136051
299003896,150.955.252-91,1154827d-d1aa-4f02-a4bc-87bb724a6929,Marcia Estes,2010-07-17,44,M,mary97@example.net,51,330.611.1704x8598,51,769.534.3570x07870,"Logradouro:Hall, Davis and Rodriguez",338,Complemento: Richardson Inc,Ritterbury,14490214,2024-04-25 15:00:43.136475
5054917052,403.490.895-58,d91a4e03-f7bf-4bcf-bff9-7da42109fd2d,Kelly Nguyen,2016-04-06,44,M,william12@example.org,51,690.906.2490x1086,51,(700)654-4086,Logradouro:Wheeler Ltd,2660,Complemento: Tran and Sons,Rodriguezview,44200682,2024-04-25 15:00:43.136795
2734564555,173.549.172-14,3839ada7-2505-4e42-af88-535938694c4c,Leroy Nguyen,1981-12-20,44,M,gregory53@example.net,51,(817)789-4828,51,908.981.4014,Logradouro:Salinas Ltd,1888,Complemento: Todd Inc,Griffithberg,54560852,2024-04-25 15:00:43.137113
713590466,697.737.293-11,f304d662-9446-4952-8a60-dec2e08e56b6,Susan Cole,1953-07-13,44,M,gbradford@example.net,51,(390)464-9287,51,+1-648-243-0170x00616,Logradouro:Carey-Brown,4220,Complemento: Williams-Hunt,South Christina,68703164,2024-04-25 15:00:43.137527
8844840471,323.430.031-30,54f6c29e-2b58-4d58-a50a-c94d07391e32,Michael Mckinney,1987-08-20,44,M,vallen@example.net,51,(666)342-2690,51,+1-507-682-5473,Logradouro:Saunders-Whitehead,4002,Complemento: Mcdaniel Group,Newmanmouth,11771365,2024-04-25 15:00:43.137909
2306111245,860.959.199-91,34cb9cf8-0ac4-49ef-b413-a6e9ed31e0a2,David Johnston,1910-04-12,44,M,barrettmarc@example.com,51,8713037434,51,+1-282-550-8089x81683,Logradouro:Brown PLC,3386,Complemento: Wagner-Casey,Burkeview,70535851,2024-04-25 15:00:43.138326
1179672520,141.216.259-94,99b5fd18-c540-4228-9da5-09fb9c73dd1d,Robert Bonilla,1910-02-14,44,M,singletonpatricia@example.org,51,317-893-7276x33923,51,2874618135,Logradouro:Mays Group,3845,"Complemento: Pollard, Mathis and Sanchez",Fowlerfurt,87632468,2024-04-25 15:00:43.138789
4448279901,728.404.057-25,c25a61fc-4f0c-48ed-8930-3c840b836d7b,Troy Smith,1991-04-14,44,M,tammy61@example.org,51,001-212-447-4627x395,51,647.758.1229,Logradouro:Rodriguez PLC,3559,Complemento: Barnes-Atkinson,Port Terry,98922583,2024-04-25 15:00:43.139141
