crmclia_ido,crmclia_cpf,crmclia_crmcli_ido,crmclia_nome,crmclia_datanascimento,crmclia_calce,crmclia_sexo,crmclia_email,crmclia_fone_ddd,crmclia_fone_numero,crmclia_cell_ddd,crmclia_cell_numero,crmclia_ender_logradouro,crmclia_ender_numero,crmclia_ender_complemento,crmclia_ender_cidade,crmclia_ender_cep,crmclia_dtins
8913777743,946.988.882-04,b5687490-70b4-4d6c-aea9-ae701a59bc33,Robert Hunt,1995-04-23,44,M,andrealarson@example.org,51,001-557-882-7582x517,51,973-847-0641x78866,Logradouro:Stewart Inc,4294,"Complemento: Sanders, Roach and Krause",West Sherry,23483619,2024-04-25 15:00:47.300441
10183739476,896.061.095-00,97c10780-9325-4ccf-bd4c-ee4482f55238,Michael Morrow,1959-10-13,44,M,mhughes@example.net,51,001-944-642-9914x41594,51,+1-890-718-2056x414,Logradouro:Avery Group,3514,Complemento: Farrell-Cummings,Lake Richardville,49475204,2024-04-25 15:00:47.300892
1409055882,395.954.199-66,de65036d-5970-4593-91f7-8869d261d646,Michael Ryan,1976-05-13,44,M,daniel07@example.org,51,434.260.3558x224,51,262-268-5856x064,Logradouro:Ortiz LLC,1173,Complemento: Brewer-Strong,Johnshaven,76028202,2024-04-25 15:00:47.301337
3916878615,874.669.983-05,e171b8b4-6b00-450b-bad4-98bb847ac73d,Mitchell Boyd,2009-12-18,44,M,dicksonsonya@example.org,51,(329)416-1084x398,51,688-772-5603x66431,Logradouro:Jones Ltd,4597,Complemento: Adams LLC,Laneside,82202335,2024-04-25 15:00:47.301780
5896977072,884.557.719-84,058b1a31-617f-4a92-bb6a-6f4862ca73a7,Stephanie Abbott,2019-08-12,44,M,rachelwoods@example.org,51,+1-940-586-5992x4842,51,501.439.6764,Logradouro:Byrd-Young,4157,Complemento: Delgado and Sons,Port Katherineberg,99207716,2024-04-25 15:00:47.302256
4132382490,111.280.507-90,e977fd27-d17f-4a7a-89d3-67d25508cec3,Joseph Li,1971-08-23,44,M,janicefrost@example.net,51,963.910.7673x71938,51,2959067133,Logradouro:Smith-Ruiz,1962,"Complemento: Rose, Thomas and Castro",Mercertown,93049439,2024-04-25 15:00:47.302864
1143950506,107.761.890-50,080ff2be-0437-44ea-be72-e34df0e0c9b0,Lisa Branch,1996-03-12,44,M,ijones@example.net,51,719.384.3106,51,(998)566-5516x7917,Logradouro:Odonnell-Harvey,1016,Complemento: Wall-Taylor,Richfort,37156102,2024-04-25 15:00:47.303375
470646024,148.656.866-14,8dbaa5db-1949-4d40-a8de-b1551e12ca2f,Robert Jones,2001-09-02,44,M,davidhodge@example.org,51,594.869.8893x613,51,935-639-1275x2272,Logradouro:Francis-Hill,3381,"Complemento: Cook, Barnes and Cross",East Ralph,51312200,2024-04-25 15:00:47.303963
7971608282,272.817.362-15,e213b8ed-5624-41fa-a005-c4f4e34484d3,Alex Fox,1980-06-18,44,M,christopher73@example.org,51,297-745-9041x548,51,+1-975-566-2016x23474,"Logradouro:Huff, Johnson and Arnold",1098,"Complemento: Villegas, Smith and Willis",West Aprilville,44805935,2024-04-25 15:00:47.304561
10011512157,404.203.882-49,4deddd32-728c-4185-94e9-a4cab85e1be8,Xavier Le,1999-04-16,44,M,shahsandra@example.net,51,219-214-5606,51,+1-571-282-5842,Logradouro:Robinson-Fisher,637,"Complemento: Bond, Johnson and Douglas",Stewarthaven,12126817,2024-04-25 15:00:47.305165
4740930477,655.031.300-73,39df2b96-46e6-4bfc-afbb-90193c2e4e71,Michael Mueller,1922-08-02,44,M,spearsdavid@example.com,51,913-316-8562,51,(815)910-8880,"Logradouro:Mason, Smith and Keith",1937,"Complemento: Cox, Holland and Preston",East Anthony,15567436,2024-04-25 15:00:47.305809
4974221014,332.160.457-49,b499fd08-c779-4297-974e-3d3fff6f2b5c,Kimberly Stevens,1944-11-25,44,M,obauer@example.org,51,954-670-8342x88526,51,928-213-6014,Logradouro:Lopez Ltd,2066,Complemento: Obrien-Gilbert,North Spencer,12262348,2024-04-25 15:00:47.306246
7647210018,810.054.376-37,15b96f98-53ac-40f1-a771-6e227564492f,Jonathan Walker,1941-03-24,44,M,ashleymartinez@example.org,51,453-734-5896x220,51,432.560.7876,"Logradouro:Miller, Freeman and Serrano",4737,Complemento: Green Group,Ramosville,20203181,2024-04-25 15:00:47.306797
5391413161,880.154.022-12,e5875103-f052-4b97-939c-6392a5314fed,Joseph Wilson,1965-05-06,44,M,lisabrown@example.com,51,001-210-290-6071x53136,51,001-418-699-9530x32583,"Logradouro:Schwartz, Smith and Rios",2184,Complemento: Hamilton and Sons,New Robertbury,37140405,2024-04-25 15:00:47.307314
4919613973,951.583.322-15,97958ad3-34ba-4377-99f9-e568bdbe98bb,John Sanchez,1980-01-15,44,M,pcrosby@example.com,51,226.402.4476x16857,51,(971)264-8357x6573,Logradouro:Macdonald-Koch,1186,Complemento: Christian-Anderson,Briannaport,53456848,2024-04-25 15:00:47.307770
6813380292,463.420.742-75,7005ed1f-a144-4acf-90d5-86f512491421,Stephanie Hale,1966-02-21,44,M,perkinsdana@example.net,51,+1-509-435-8526x73811,51,001-955-972-1745x4087,Logradouro:Miller Ltd,2435,"Complemento: Meadows, Wilson and Adams",South Lori,31845191,2024-04-25 15:00:47.308259
