crmclia_ido,crmclia_cpf,crmclia_crmcli_ido,crmclia_nome,crmclia_datanascimento,crmclia_calce,crmclia_sexo,crmclia_email,crmclia_fone_ddd,crmclia_fone_numero,crmclia_cell_ddd,crmclia_cell_numero,crmclia_ender_logradouro,crmclia_ender_numero,crmclia_ender_complemento,crmclia_ender_cidade,crmclia_ender_cep,crmclia_dtins
692707107,722.381.981-21,310c8930-2c61-480f-a2c7-751d984e8bf9,Janice Thompson,2016-01-15,44,M,elaine44@example.com,51,(591)556-6437x0441,51,537-642-2730x9829,Logradouro:Mccullough-James,2966,"Complemento: Rogers, Hansen and Navarro",Stephaniefurt,23084659,2024-04-25 15:00:26.662995
439762975,913.703.384-06,1762c558-c936-4a33-9e1e-b778d68a7b74,Dalton Foley,2022-09-02,44,M,justindixon@example.com,51,(745)605-2057x910,51,+1-629-281-1131,Logradouro:Calderon-Mitchell,2501,Complemento: Ross Inc,Lamberg,42440417,2024-04-25 15:00:26.663487
3670714062,979.996.644-21,628ac9eb-678f-4f4f-bbea-98e1c2dda153,Barry Johnson,1920-06-21,44,M,stanleyhudson@example.com,51,(402)445-6828x1071,51,(447)495-5770x81531,Logradouro:Thomas-Wagner,354,Complemento: Sampson LLC,Kleinfort,53225595,2024-04-25 15:00:26.663979
3552808377,665.135.961-49,5abf1267-8d84-4e2c-b444-b872a175f966,Mark Malone,1926-08-04,44,M,silvadaniel@example.org,51,754.499.7358x117,51,8152239590,"Logradouro:Harris, Obrien and Young",2293,Complemento: Howard Ltd,Christopherborough,67350946,2024-04-25 15:00:26.664461
2182291320,961.068.832-20,7ecc8476-47f0-4f38-ab78-f305c5fa18af,Rhonda Franklin,1916-01-04,44,M,heathermcdonald@example.net,51,529.619.3787x1509,51,940.539.7855,Logradouro:Yang LLC,723,Complemento: Gardner Ltd,Kimberlybury,53498143,2024-04-25 15:00:26.664841
7515018102,622.830.536-09,58348ddb-6720-4431-8e5c-c1b390bc68f5,Stacy Yoder,1957-11-27,44,M,robert84@example.net,51,001-319-837-6535,51,6484602594,Logradouro:Fisher-Greene,1761,"Complemento: Weiss, Woodard and Hall",North Cathy,82426024,2024-04-25 15:00:26.665312
1344673811,827.346.008-89,591be333-2148-4d94-bbdd-8cca61b07bdb,Melissa Melton,1957-01-31,44,M,mitchellrodriguez@example.com,51,+1-338-727-9282x864,51,(231)356-2161,Logradouro:Aguirre-Smith,1419,Complemento: Snyder-Hudson,Gibsonfort,16781092,2024-04-25 15:00:26.665800
9997924900,842.624.024-01,c42f5df1-138f-442f-afc5-b75819bd1277,William Ramirez,1946-04-30,44,M,coxteresa@example.net,51,(925)976-9080x54724,51,566.276.6951x2998,Logradouro:Burton LLC,1040,Complemento: Harding-Good,West Karen,46937910,2024-04-25 15:00:26.666244
10619435717,401.473.585-07,b73e8ade-2f66-4c22-a3d1-70031613f753,James Norris,1990-05-23,44,M,david94@example.org,51,001-591-993-2459x810,51,205-501-2141x0645,Logradouro:Young-Moss,4888,"Complemento: Sanders, Duran and Martin",East Erichaven,40076613,2024-04-25 15:00:26.666765
9235895330,005.204.758-01,93431ad3-e3f0-4c9e-a0d5-b6b0f7e01c8e,Thomas Obrien,1994-05-29,44,M,laurahudson@example.net,51,426-348-0398x2847,51,672-827-4272,"Logradouro:Hawkins, Lyons and Bradshaw",3550,"Complemento: Roberts, Huerta and Meza",Sharonland,30951648,2024-04-25 15:00:26.667339
5276611509,573.959.455-30,0fefcbd1-47f4-4f66-851c-3547a8c76533,Christopher Gonzales,1975-03-27,44,M,charles12@example.net,51,001-832-418-7729,51,001-858-451-9130,"Logradouro:Graham, Weeks and Wilkinson",480,Complemento: Mcbride-Brown,New Jeanette,75001845,2024-04-25 15:00:26.667806
7777721153,910.310.154-18,7484d740-32ea-42fc-9a82-f64014a7d08c,Luke Griffin,2004-10-26,44,M,sknox@example.com,51,3704505956,51,523-434-1500,Logradouro:Houston Ltd,481,Complemento: Thompson Group,Millermouth,13724491,2024-04-25 15:00:26.668129
