crmclia_ido,crmclia_cpf,crmclia_crmcli_ido,crmclia_nome,crmclia_datanascimento,crmclia_calce,crmclia_sexo,crmclia_email,crmclia_fone_ddd,crmclia_fone_numero,crmclia_cell_ddd,crmclia_cell_numero,crmclia_ender_logradouro,crmclia_ender_numero,crmclia_ender_complemento,crmclia_ender_cidade,crmclia_ender_cep,crmclia_dtins
5271944341,537.358.382-00,da99790c-88ad-47e0-b7b3-8b53c3acf681,Anthony Crawford,1976-04-01,44,M,tonya83@example.net,51,5983238683,51,+1-723-840-4272,Logradouro:Willis LLC,4587,Complemento: Bolton LLC,Tiffanymouth,98982189,2024-04-25 15:00:39.005666
5952374819,561.004.880-00,20c3c1aa-f3b2-4878-8d27-ffb93284f795,Frank Jones,1956-02-19,44,M,roberthall@example.net,51,(711)445-1310x890,51,4064617712,Logradouro:Brown-Powers,1208,Complemento: Henry-Fowler,Roblesport,98475128,2024-04-25 15:00:39.006281
9451528985,167.325.917-03,5c39819f-1e62-42a5-bd46-f080181c7b64,Cole Brown,2010-12-14,44,M,mooreabigail@example.com,51,616-456-2153,51,+1-530-671-8353x43738,Logradouro:Gould PLC,3294,Complemento: Holmes Inc,New Debbie,71935180,2024-04-25 15:00:39.006773
3671055546,794.435.189-88,47725b15-f845-412a-bfc6-e33363618f5e,Tonya Chavez,1958-04-02,44,M,ggarcia@example.org,51,826-638-0997x5540,51,+1-458-926-5273x18390,Logradouro:Harrison Inc,3924,Complemento: Rubio Group,Reyesshire,61683194,2024-04-25 15:00:39.007249
3860279312,439.538.068-90,750df8cb-89b7-4f50-bac1-b195dce7ee52,Michelle Ford,1997-11-22,44,M,joannaanderson@example.org,51,+1-632-405-7072x232,51,449-843-7933x82888,Logradouro:Rodriguez Group,4231,Complemento: Garza-Stephens,South Shane,40555268,2024-04-25 15:00:39.007781
901783853,588.061.773-46,bae86c44-c764-4581-b7a6-eb7016da22b8,Michael Clark,2005-10-27,44,M,thompsonscott@example.net,51,(454)222-3799x8498,51,+1-388-587-4805x2320,Logradouro:Perkins Group,387,"Complemento: Taylor, Mitchell and Lewis",East Ianmouth,56745683,2024-04-25 15:00:39.008379
8013072155,858.815.604-00,98875b7c-6218-405d-a82b-66df6ee08317,Scott Benton,1921-11-07,44,M,lorirowland@example.com,51,929.990.8128,51,608.259.1098x54406,"Logradouro:Curry, Bryant and Keller",1394,Complemento: Duran Inc,North Alexfort,95306984,2024-04-25 15:00:39.008977
6668905966,602.600.088-77,5e27e4df-9e25-4b75-8e9f-f2f3b5ef45b2,Luke Jones,1949-08-24,44,M,susancarter@example.net,51,437-276-1909,51,001-782-814-2892x39914,"Logradouro:Reed, Roberts and Ryan",2256,Complemento: Peters Inc,Erinport,56492152,2024-04-25 15:00:39.009598
7235096876,997.620.118-48,8779139d-d905-44f9-a694-a65a6606ff2d,Michael Lopez,1915-08-21,44,M,anthonymichael@example.net,51,406.726.4919x717,51,8897901115,Logradouro:Wilson Ltd,4219,"Complemento: Cortez, Jones and Garcia",West Ronald,78419151,2024-04-25 15:00:39.010222
3331624068,162.084.007-32,b54141b6-442f-4f58-822e-ea8bd442e9d3,Jasmin Scott,2003-06-07,44,M,angela14@example.com,51,001-276-482-8241x39645,51,216-659-2686,Logradouro:Silva-Jackson,1224,Complemento: Haley Ltd,Lake Anthonytown,73221807,2024-04-25 15:00:39.010718
